Date,Day,People Tested - Total,People Positive - Total,People Not-Positive - Total,People Tested - Age 0-17,People Tested - Age 18-29,People Tested - Age 30-39,People Tested - Age 40-49,People Tested - Age 50-59,People Tested - Age 60-69,People Tested - Age 70-79,People Tested - Age 80+,People Tested - Age Unknown,People Tested - Female,People Tested - Male,People Tested - Gender Unknown,People Tested - Latinx,People Tested - Asian Non-Latinx,People Tested - Black Non-Latinx,People Tested - White Non-Latinx,People Tested - Other Race Non-Latinx,People Tested - Unknown Race/Ethnicity,People Positive - Age 0-17,People Positive - Age 18-29,People Positive - Age 30-30,People Positive - Age 40-49,People Positive - Age 50-59,People Positive - Age 60-69,People Positive - Age 70-79,People Positive - Age 80+,People Positive - Age Unknown,People Positive - Female,People Positive - Male,People Positive - Gender Unknown,People Positive - Latinx,People Positive - Asian Non-Latinx,People Positive - Black Non-Latinx,People Positive - White Non-Latinx,People Positive - Other Race Non-Latinx,People Positive - Unknown Race/Ethnicity,People Not-Positive - Age 0-17,People Not-Positive - Age 18-29,People Not-Positive - Age 30-39,People Not-Positive - Age 40-49,People Not-Positive - Age 50-59,People Not-Positive - Age 60-69,People Not-Positive - Age 70-79,People Not-Positive - Age 80+,People Not-Positive - Age Unknown,People Not-Positive - Female,People Not-Positive - Male,People Not-Positive - Gender Unknown,People Not-Positive - Latinx,People Not-Positive - Asian Non-Latinx,People Not-Positive - Black Non-Latinx,People Not-Positive - White Non-Latinx,People Not-Positive - Other Race Non-Latinx,People Not-Positive - Unknown Race/Ethnicity
09/22/2020,Tuesday,4100,183,3917,468,1377,731,435,422,357,203,104,3,2107,1904,89,882,162,620,1072,168,1196,15,55,35,29,21,13,8,7,0,89,92,2,58,4,35,33,9,44,453,1322,696,406,401,344,195,97,3,2018,1812,87,824,158,585,1039,159,1152
03/04/2020,Wednesday,43,0,43,12,7,4,1,11,0,6,2,0,24,19,0,4,3,10,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,1,11,0,6,2,0,24,19,0,4,3,10,4,0,22
07/13/2020,Monday,6719,335,6384,564,1677,1430,883,829,710,428,195,3,3728,2864,127,1097,154,1361,1462,269,2376,36,99,68,45,35,31,7,14,0,190,143,2,124,7,90,59,8,47,528,1578,1362,838,794,679,421,181,3,3538,2721,125,973,147,1271,1403,261,2329
06/10/2020,Wednesday,4067,234,3833,203,986,887,517,590,470,272,138,4,2152,1789,126,536,82,577,701,153,2018,10,57,46,32,36,26,18,9,0,129,100,5,97,3,46,30,7,51,193,929,841,485,554,444,254,129,4,2023,1689,121,439,79,531,671,146,1967
07/19/2020,Sunday,1833,101,1732,186,391,352,227,222,225,146,83,1,1006,821,6,174,33,318,464,146,698,15,27,24,10,13,5,6,1,0,53,47,1,27,2,32,21,3,16,171,364,328,217,209,220,140,82,1,953,774,5,147,31,286,443,143,682
06/06/2020,Saturday,2239,170,2069,120,425,411,337,318,320,227,79,2,1207,971,61,283,34,364,467,114,977,18,33,22,36,28,20,9,4,0,88,81,1,81,1,25,22,6,35,102,392,389,301,290,300,218,75,2,1119,890,60,202,33,339,445,108,942
06/09/2020,Tuesday,4524,255,4269,254,965,864,601,633,646,359,188,14,2348,2033,143,569,69,669,734,182,2301,19,49,34,46,45,38,14,10,0,115,136,4,110,3,37,36,13,56,235,916,830,555,588,608,345,178,14,2233,1897,139,459,66,632,698,169,2245
06/11/2020,Thursday,3835,204,3631,204,974,808,491,571,442,225,111,9,1981,1634,220,558,67,575,619,90,1926,19,65,27,29,32,19,9,4,0,107,92,5,98,3,31,25,5,42,185,909,781,462,539,423,216,107,9,1874,1542,215,460,64,544,594,85,1884
08/30/2020,Sunday,1811,100,1711,194,536,369,212,206,137,89,68,0,957,849,5,189,54,274,438,62,794,11,24,16,17,15,8,4,5,0,49,50,1,26,1,22,32,4,15,183,512,353,195,191,129,85,63,0,908,799,4,163,53,252,406,58,779
08/10/2020,Monday,5422,378,5044,596,1470,1134,703,621,457,298,132,11,2911,2368,143,1112,169,931,1230,157,1823,41,108,69,64,49,24,18,5,0,186,191,1,183,8,59,68,13,47,555,1362,1065,639,572,433,280,127,11,2725,2177,142,929,161,872,1162,144,1776
